cycle,Horizontal_acceleration,Vertical_acceleration,id,label
1,0.456,0.226,6,0
2,0.313,0.672,6,0
3,0.542,0.313,6,0
4,0.099,0.258,6,0
5,0.086,0.41,6,0
6,0.501,0.619,6,0
7,0.01,0.031,6,0
8,0.057,0.424,6,0
9,0.471,0.603,6,0
10,0.082,0.402,6,0
11,0.074,0.091,6,0
12,0.124,0.74,6,0
13,0.009,0.13,6,0
14,0.35,0.278,6,0
15,0.227,0.073,6,0
16,0.269,0.536,6,0
17,0.029,0.191,6,0
18,0.138,0.384,6,0
19,0.066,0.391,6,0
20,0.255,0.046,6,0
21,0.047,0.512,6,0
22,0.116,0.122,6,0
23,0.077,0.43,6,0
24,0.159,0.013,6,0
25,0.315,0.195,6,0
26,0.235,0.336,6,0
27,0.092,0.29,6,0
28,0.181,0.941,6,0
29,0.078,0.277,6,0
30,0.078,0.148,6,0
31,0.176,0.086,6,0
32,0.09,0.498,6,0
33,0.531,0.321,6,0
34,0.132,0.179,6,0
35,0.148,0.215,6,0
36,0.215,0.457,6,0
37,0.064,0.61,6,0
38,0.429,0.534,6,0
39,0.019,0.284,6,0
40,0.243,0.157,6,0
41,0.031,0.463,6,0
42,0.862,0.215,6,0
43,0.439,0.969,6,0
44,0.285,0.098,6,0
45,0.032,0.118,6,0
46,0.133,0.399,6,0
47,0.14,0.108,6,0
48,0.333,0.236,6,0
49,0.122,0.542,6,0
50,0.07,0.398,6,0
51,0.059,0.187,6,0
52,0.1,0.233,6,0
53,0.098,0.061,6,0
54,0.083,0.29,6,0
55,0.17,0.092,6,0
56,0.276,0.045,6,0
57,0.319,0.684,6,0
58,0.39,0.491,6,0
59,0.027,0.536,6,0
60,0.232,0.372,6,0
61,0.108,0.155,6,0
62,0.376,0.531,6,0
63,0.445,0.891,6,0
64,0.096,0.28,6,0
65,0.74,0.552,6,0
66,0.148,0.118,6,0
67,0.365,0.054,6,0
68,0.189,0.6,6,0
69,0.183,0.382,6,0
70,0.409,0.423,6,0
71,0.03,0.141,6,0
72,0.006,0.521,6,0
73,0.23,0.287,6,0
74,0.024,0.725,6,0
75,0.232,0.311,6,0
76,0.167,0.213,6,0
77,0.123,0.165,6,0
78,0.201,0.029,6,0
79,0.089,0.591,6,0
80,0.286,0.377,6,0
81,0.342,0.218,6,0
82,0.173,0.085,6,0
83,0.316,0.309,6,0
84,0.557,0.454,6,0
85,0.467,0.744,6,0
86,0.408,0.587,6,0
87,1.219,0.271,6,0
88,0.442,0.219,6,0
89,0.442,0.469,6,0
90,0.278,0.505,6,0
91,0.41,0.576,6,0
92,0.233,0.211,6,0
93,0.339,0.266,6,0
94,0.098,0.557,6,0
95,0.176,0.234,6,0
96,0.278,0.383,6,0
97,0.068,0.465,6,0
98,0.143,0.343,6,0
99,0.125,0.749,6,0
100,0.053,0.347,6,0
101,0.11,0.545,6,0
102,0.299,0.242,6,0
103,0.392,0.156,6,0
104,0.128,0.311,6,0
105,0.092,0.684,6,0
106,0.3,0.559,6,0
107,0.216,0.012,6,0
108,0.122,0.226,6,0
109,0.413,0.309,6,0
110,0.217,0.3,6,0
111,0.401,0.152,6,0
112,0.519,0.297,6,0
113,0.304,0.633,6,0
114,0.013,0.473,6,0
115,0.213,0.093,6,0
116,0.072,0.588,6,0
117,0.032,0.234,6,0
118,0.285,0.24,6,0
119,0.093,0.444,6,0
120,0.256,0.116,6,0
121,0.333,0.033,6,0
122,0.241,0.066,6,0
123,0.067,0.588,6,0
124,0.007,0.582,6,0
125,0.125,0.209,6,0
126,0.045,0.324,6,0
127,0.009,0.111,6,0
128,0.167,0.184,6,0
129,0.303,0.066,6,0
130,0.11,0.112,6,0
131,0.221,0.35,6,0
132,0.265,0.019,6,0
133,0.153,0.252,6,0
134,0.086,0.13,6,0
135,0.827,0.343,6,0
136,0.155,0.105,6,0
137,0.146,0.008,6,0
138,0.224,0.486,6,0
139,0.098,0.125,6,0
140,0.295,0.288,6,0
141,0.394,0.479,6,0
142,0.142,0.029,6,0
143,0.226,0.242,6,0
144,0.673,0.657,6,0
145,0.427,0.564,6,0
146,0.081,0.353,6,0
147,0.098,0.323,6,0
148,0.02,0.34,6,0
149,0.014,0.106,6,0
150,0.184,0.055,6,0
151,0.161,0.096,6,0
152,0.248,0.045,6,0
153,0.115,0.155,6,0
154,0.066,0.005,6,0
155,0.321,0.323,6,0
156,0.365,0.265,6,0
157,0.196,0.421,6,0
158,0.505,0.023,6,0
159,0.177,0.029,6,0
160,0.201,0.043,6,0
161,0.06,0.82,6,0
162,0.002,0.046,6,0
163,0.337,0.024,6,0
164,0.04,0.608,6,0
165,0.122,0.155,6,0
166,0.059,0.205,6,0
167,0.014,0.133,6,0
168,0.09,0.432,6,0
169,0.357,0.051,6,0
170,0.276,0.232,6,0
171,0.196,0.183,6,0
172,0.052,0.348,6,0
173,0.087,0.075,6,0
174,0.369,0.384,6,0
175,0.564,0.754,6,0
176,0.037,0.354,6,0
177,0.337,0.285,6,0
178,0.402,0.166,6,0
179,0.392,0.329,6,0
180,0.667,0.119,6,0
181,0.109,0.05,6,0
182,0.46,0.36,6,0
183,0.035,0.217,6,0
184,0.342,0.333,6,0
185,0.89,0.326,6,0
186,0.62,0.214,6,0
187,0.957,0.661,6,0
188,0.227,0.622,6,0
189,0.843,0.705,6,0
190,0.499,0.125,6,0
191,0.526,0.236,6,0
192,0.242,0.369,6,0
193,0.195,0.189,6,0
194,0.337,0.24,6,0
195,0.079,0.159,6,0
196,0.159,0.71,6,0
197,0.432,0.104,6,0
198,0.056,0.164,6,0
199,0.154,0.495,6,0
200,0.059,0.109,6,0
201,0.293,0.486,6,0
202,0.139,0.25,6,0
203,0.066,0.292,6,0
204,0.192,0.115,6,0
205,0.051,0.038,6,0
206,0.125,0.232,6,0
207,0.569,0.316,6,0
208,0.253,0.21,6,0
209,0.133,0.385,6,0
210,0.21,0.64,6,0
211,0.457,0.292,6,0
212,0.125,0.221,6,0
213,0.363,0.059,6,0
214,0.185,0.282,6,0
215,0.181,0.444,6,0
216,0.294,0.117,6,0
217,0.419,0.292,6,0
218,0.028,0.54,6,0
219,0.157,0.101,6,0
220,0.343,0.209,6,0
221,0.478,0.893,6,0
222,0.294,0.045,6,0
223,0.193,0.613,6,0
224,0.128,0.075,6,0
225,0.243,0.575,6,0
226,0.723,0.498,6,0
227,0.017,0.229,6,0
228,0.071,0.573,6,0
229,0.011,0.391,6,0
230,0.392,0.526,6,0
231,0.187,0.035,6,0
232,0.131,0.141,6,0
233,0.132,0.24,6,0
234,0.118,0.055,6,0
235,0.045,0.095,6,0
236,0.214,0.159,6,0
237,0.119,0.167,6,0
238,0.111,0.067,6,0
239,0.038,0.072,6,0
240,0.075,0.67,6,0
241,0.363,0.023,6,0
242,0.029,0.961,6,0
243,0.019,0.043,6,0
244,0.468,0.214,6,0
245,0.214,0.178,6,0
246,0.347,0.202,6,0
247,0.111,0.006,6,0
248,0.192,0.267,6,0
249,0.052,0.425,6,0
250,0.178,0.286,6,0
251,0.081,0.551,6,0
252,0.298,0.668,6,0
253,0.023,0.51,6,0
254,0.028,0.284,6,0
255,0.153,0.578,6,0
256,0.387,0.582,6,0
257,0.032,0.127,6,0
258,0.588,0.484,6,0
259,0.244,0.722,6,0
260,0.263,0.007,6,0
261,0.559,0.243,6,0
262,0.258,0.096,6,0
263,0.018,0.35,6,0
264,0.214,0.299,6,0
265,0.234,0.254,6,0
266,0.046,1.36,6,0
267,0.295,0.421,6,0
268,0.018,0.068,6,0
269,0.019,0.349,6,0
270,0.964,0.05,6,0
271,0.292,0.095,6,0
272,0.206,0.127,6,0
273,0.492,0.141,6,0
274,0.084,0.285,6,0
275,0.353,0.45,6,0
276,0.515,0.487,6,0
277,0.056,0.068,6,0
278,0.155,0.28,6,0
279,0.042,0.005,6,0
280,0.356,0.328,6,0
281,0.018,0.476,6,0
282,0.02,0.178,6,0
283,0.036,0.08,6,0
284,0.128,0.543,6,0
285,0.086,0.129,6,0
286,0.229,0.519,6,0
287,0.016,0.121,6,0
288,0.036,0.518,6,0
289,0.165,0.374,6,0
290,0.183,0.783,6,0
291,0.365,0.154,6,0
292,0.502,0.287,6,0
293,0.13,0.266,6,0
294,0.122,0.398,6,0
295,0.287,0.196,6,0
296,1.022,0.284,6,0
297,0.714,0.273,6,0
298,0.217,0.741,6,0
299,1.448,0.005,6,0
300,0.003,1.239,6,0
301,0.283,0.721,6,0
302,0.205,0.013,6,0
303,0.117,0.451,6,0
304,0.191,0.138,6,0
305,0.405,0.495,6,0
306,0.237,0.124,6,0
307,0.145,0.264,6,0
308,0.098,0.093,6,0
309,0.184,0.03,6,0
310,0.104,0.301,6,0
311,0.128,0.662,6,0
312,0.32,0.441,6,0
313,0.282,0.16,6,0
314,0.253,0.032,6,0
315,0.152,0.099,6,0
316,0.032,0.087,6,0
317,0.166,0.361,6,0
318,0.01,0.557,6,0
319,0.056,0.319,6,0
320,0.196,0.295,6,0
321,0.152,0.007,6,0
322,0.42,0.109,6,0
323,0.099,0.367,6,0
324,0.221,0.345,6,0
325,0.162,0.515,6,0
326,0.002,0.338,6,0
327,0.178,0.087,6,0
328,0.137,0.188,6,0
329,0.093,0.178,6,0
330,0.122,0.389,6,0
331,0.302,0.026,6,0
332,0.136,0.034,6,0
333,0.03,0.373,6,0
334,0.207,0.328,6,0
335,0.126,0.335,6,0
336,0.125,0.226,6,0
337,0.091,0.091,6,0
338,0.189,0.06,6,0
339,0.149,0.21,6,0
340,0.29,0.251,6,0
341,0.255,0.632,6,0
342,0.183,0.165,6,0
343,0.048,0.062,6,0
344,0.326,0.374,6,0
345,0.004,0.05,6,0
346,0.303,0.328,6,0
347,0.003,0.355,6,0
348,0.481,0.804,6,0
349,0.252,0.964,6,0
350,0.217,0.15,6,0
351,0.423,0.065,6,0
352,0.162,0.461,6,0
353,0.362,0.425,6,0
354,0.155,0.388,6,0
355,0.531,0.835,6,0
356,0.017,0.247,6,0
357,0.395,0.642,6,0
358,0.058,0.449,6,0
359,0.24,0.253,6,0
360,0.051,0.269,6,0
361,0.31,0.215,6,0
362,0.43,0.478,6,0
363,0.042,0.198,6,0
364,0.185,0.44,6,0
365,0.204,0.103,6,0
366,0.126,0.266,6,0
367,0.184,0.034,6,0
368,0.25,0.452,6,0
369,0.343,0.019,6,0
