id,cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,label
34,1,0.0035,-0.0002,100,518.67,642.44,1586.84,1407.9,14.62,21.61,553.56,2388.07,9058.32,1.3,47.33,521.54,2388.07,8143.4,8.4248,0.03,392,2388,100,38.76,23.242,0
34,2,-0.002,-0.0001,100,518.67,642.16,1585.43,1404.51,14.62,21.61,553.62,2388.12,9063.24,1.3,47.14,521.2,2387.99,8143.09,8.3995,0.03,394,2388,100,38.8,23.2772,0
34,3,-0.0002,0.0004,100,518.67,642.87,1587.98,1403.07,14.62,21.61,554.76,2388.07,9059.4,1.3,47.36,521.65,2388.08,8138.5,8.4287,0.03,392,2388,100,39.06,23.2365,0
34,4,-0.0029,0.0003,100,518.67,642.22,1591.59,1400.73,14.62,21.61,553.86,2388.14,9054.09,1.3,47.56,521.94,2388.08,8139.79,8.4225,0.03,394,2388,100,38.93,23.3723,0
34,5,0.0001,0.0003,100,518.67,641.69,1590.08,1404.55,14.62,21.61,554.34,2388.07,9049.74,1.3,47.58,521.99,2388.12,8138.64,8.409,0.03,392,2388,100,38.78,23.2569,0
34,6,-0.0015,-0.0002,100,518.67,642.1,1591.54,1409.35,14.62,21.61,554.03,2388.03,9057.65,1.3,47.37,521.91,2388.06,8140.77,8.4086,0.03,394,2388,100,38.92,23.3895,0
34,7,-0.0012,0.0005,100,518.67,642.83,1587.08,1403.87,14.62,21.61,553.57,2388.08,9060.15,1.3,47.29,521.68,2388.01,8138.34,8.4453,0.03,393,2388,100,38.85,23.4315,0
34,8,0.0003,0.0006,100,518.67,642.41,1579.1,1401.76,14.62,21.61,553.76,2388.12,9053.28,1.3,47.32,521.63,2388.07,8134.38,8.4285,0.03,390,2388,100,38.9,23.3029,0
34,9,0.0006,0.0004,100,518.67,642.63,1589.51,1405.36,14.62,21.61,553.66,2388.1,9062.06,1.3,47.55,521.82,2388.04,8140.72,8.4172,0.03,392,2388,100,38.93,23.4358,0
34,10,-0.0024,-0.0002,100,518.67,642.77,1589.45,1401.62,14.62,21.61,554.33,2388.06,9057.7,1.3,47.3,521.15,2388.03,8134.58,8.4137,0.03,393,2388,100,38.93,23.3387,0
